,expanded states,used states,expanded transitions,used transitions,synthesis time(ms),findNewGoals,findNewErrors,propagateGoals,propagateErrors,memory(mb),heuristic time(ms),algorithm,heuristic,problem,n,k,training time,training steps,eta,nnsize,epsilon,nfeatures,target q,reset target freq,experience replay,buffer size,ra feature,idx
90,52,28,74,35,203,13,1,1,1,19.14,22.0,new,experiments/results/DP_2_2/TB_5mill_bs100/90.onnx,DP,2,2,14587.359708070755,4500000,1e-05,20,0.1,15,True,10000,True,10000,True,90
91,79,36,109,51,215,12,0,2,1,20.66,27.0,new,experiments/results/DP_2_2/TB_5mill_bs100/91.onnx,DP,2,2,14733.127433776855,4550000,1e-05,20,0.1,15,True,10000,True,10000,True,91
92,73,28,95,35,218,16,0,2,4,20.66,21.0,new,experiments/results/DP_2_2/TB_5mill_bs100/92.onnx,DP,2,2,14878.613596439362,4600000,1e-05,20,0.1,15,True,10000,True,10000,True,92
93,121,61,206,100,221,39,0,2,3,29.14,44.0,new,experiments/results/DP_2_2/TB_5mill_bs100/93.onnx,DP,2,2,15023.656461715698,4650000,1e-05,20,0.1,15,True,10000,True,10000,True,93
94,43,28,60,35,187,11,0,1,5,18.18,17.0,new,experiments/results/DP_2_2/TB_5mill_bs100/94.onnx,DP,2,2,15170.908380508423,4700000,1e-05,20,0.1,15,True,10000,True,10000,True,94
95,82,37,118,50,203,17,0,8,9,21.14,25.0,new,experiments/results/DP_2_2/TB_5mill_bs100/95.onnx,DP,2,2,15315.582768678665,4750000,1e-05,20,0.1,15,True,10000,True,10000,True,95
96,47,25,59,29,162,4,0,2,6,17.7,19.0,new,experiments/results/DP_2_2/TB_5mill_bs100/96.onnx,DP,2,2,15460.736802816391,4800000,1e-05,20,0.1,15,True,10000,True,10000,True,96
97,72,28,97,35,202,20,0,1,3,21.14,27.0,new,experiments/results/DP_2_2/TB_5mill_bs100/97.onnx,DP,2,2,15608.750026226044,4850000,1e-05,20,0.1,15,True,10000,True,10000,True,97
98,62,28,81,35,190,13,0,1,5,19.62,25.0,new,experiments/results/DP_2_2/TB_5mill_bs100/98.onnx,DP,2,2,15754.860882520676,4900000,1e-05,20,0.1,15,True,10000,True,10000,True,98
99,80,39,115,59,200,17,1,1,8,21.14,18.0,new,experiments/results/DP_2_2/TB_5mill_bs100/99.onnx,DP,2,2,15901.455195426941,4950000,1e-05,20,0.1,15,True,10000,True,10000,True,99
100,145,31,212,41,273,25,2,2,8,29.14,54.0,new,experiments/results/DP_2_2/TB_5mill_bs100/100.onnx,DP,2,2,16047.688101768494,5000000,1e-05,20,0.1,15,True,10000,True,10000,True,100
