,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
76,12.0,56,42,2,2,DP,11,2081.11371922493,3350000,-110.54104170902669,38,0.03416381,-0.92898583,-0.3255261,0.8768646,0.57205176,-5.9604645e-07,-2.3056707,-1.0577161,-0.66286725,-1.9417102,-1.8682876
77,115.0,347,177,3,3,DP,11,2081.11371922493,3350000,-110.54104170902669,38,0.03416381,-0.92898583,-0.3255261,0.8768646,0.57205176,-5.9604645e-07,-2.3056707,-1.0577161,-0.66286725,-1.9417102,-1.8682876
78,43.0,154,107,2,2,DP,11,3055.3182764053345,4700000,-100.24943489023228,39,-0.19492182,-1.5439655,-0.4683381,0.15993166,1.0193223,-4.7683716e-07,-2.263327,-0.98287755,-0.95734227,-2.0825832,-1.8837229
79,13217.0,3601,1874,3,3,DP,11,3055.3182764053345,4700000,-100.24943489023228,39,-0.19492182,-1.5439655,-0.4683381,0.15993166,1.0193223,-4.7683716e-07,-2.263327,-0.98287755,-0.95734227,-2.0825832,-1.8837229
80,104.0,295,175,2,2,DP,11,1342.2446036338806,2250000,-94.51530461505284,40,0.44671452,-0.90348095,-0.38557154,0.5346423,0.9182061,-7.1525574e-07,-2.6890805,-1.3444408,-0.587617,-1.5815067,-1.6501935
81,11226.0,2935,1602,3,3,DP,11,1342.2446036338806,2250000,-94.51530461505284,40,0.44671452,-0.90348095,-0.38557154,0.5346423,0.9182061,-7.1525574e-07,-2.6890805,-1.3444408,-0.587617,-1.5815067,-1.6501935
82,12.0,64,51,2,2,DP,11,1942.8262798786163,3150000,-106.8316840929242,41,0.6267344,-0.73298234,-0.19822185,1.0342147,0.77686536,-3.5762787e-07,-1.9942168,-1.0727106,-0.50181276,-1.7458241,-1.3845596
83,30898.0,4918,2833,3,3,DP,11,1942.8262798786163,3150000,-106.8316840929242,41,0.6267344,-0.73298234,-0.19822185,1.0342147,0.77686536,-3.5762787e-07,-1.9942168,-1.0727106,-0.50181276,-1.7458241,-1.3845596
84,77.0,171,127,2,2,DP,11,2115.881518125534,3400000,-108.33607800632448,42,0.21940686,-1.1083236,-0.48489416,0.6649228,0.6745758,-4.7683716e-07,-2.2814264,-1.352849,-0.9195021,-2.456733,-1.4856972
85,41402.0,5775,2835,3,3,DP,11,2115.881518125534,3400000,-108.33607800632448,42,0.21940686,-1.1083236,-0.48489416,0.6649228,0.6745758,-4.7683716e-07,-2.2814264,-1.352849,-0.9195021,-2.456733,-1.4856972
86,98.0,297,169,2,2,DP,11,1538.5160510540009,2550000,-107.86123431912549,43,0.27809995,-0.9662909,-0.67115617,-0.11492701,0.65949816,-2.3841858e-07,-2.5931222,-1.4850465,-1.1484659,-2.7197695,-2.4209352
87,40187.0,6208,2707,3,3,DP,11,1538.5160510540009,2550000,-107.86123431912549,43,0.27809995,-0.9662909,-0.67115617,-0.11492701,0.65949816,-2.3841858e-07,-2.5931222,-1.4850465,-1.1484659,-2.7197695,-2.4209352
88,22.0,59,43,2,2,DP,11,81.77490782737732,150000,-68.5462946003265,44,0.4970947,0.45799673,-0.3059034,1.095696,1.7398052,-5.9604645e-07,-2.0036335,-0.8054145,0.26586705,0.19568253,-1.7426332
89,104.0,331,167,3,3,DP,11,81.77490782737732,150000,-68.5462946003265,44,0.4970947,0.45799673,-0.3059034,1.095696,1.7398052,-5.9604645e-07,-2.0036335,-0.8054145,0.26586705,0.19568253,-1.7426332
90,87.0,295,175,2,2,DP,11,1908.4706935882568,3100000,-110.52869103571192,45,0.58526754,-1.1020235,-0.2981885,0.77602637,0.7877139,-7.1525574e-07,-2.6731417,-1.5850744,-0.64716077,-2.1474872,-1.733776
91,35002.0,4583,2835,3,3,DP,11,1908.4706935882568,3100000,-110.52869103571192,45,0.58526754,-1.1020235,-0.2981885,0.77602637,0.7877139,-7.1525574e-07,-2.6731417,-1.5850744,-0.64716077,-2.1474872,-1.733776
92,79.0,274,169,2,2,DP,11,992.0960264205933,1700000,-94.86663007982334,46,0.17358592,-0.7207215,-0.055195123,0.42266077,0.916808,-5.9604645e-07,-3.0561452,-1.4991747,-0.5638307,-1.9445467,-2.0359645
93,40129.0,5333,2696,3,3,DP,11,992.0960264205933,1700000,-94.86663007982334,46,0.17358592,-0.7207215,-0.055195123,0.42266077,0.916808,-5.9604645e-07,-3.0561452,-1.4991747,-0.5638307,-1.9445467,-2.0359645
94,64.0,235,136,2,2,DP,11,248.99361324310303,450000,-89.34952662165695,47,0.732182,-0.4497137,-0.42196,0.8485178,1.1686997,-7.1525574e-07,-3.2429729,-1.6715219,-0.71522576,-0.932803,-2.4472318
95,2161.0,1369,824,3,3,DP,11,248.99361324310303,450000,-89.34952662165695,47,0.732182,-0.4497137,-0.42196,0.8485178,1.1686997,-7.1525574e-07,-3.2429729,-1.6715219,-0.71522576,-0.932803,-2.4472318
96,20.0,93,61,2,2,DP,11,3167.7341270446777,4850000,-82.11865220888347,48,0.5914357,-0.7864278,-0.16429088,0.7226049,0.92701954,-2.3841858e-07,-1.4874518,-0.49748412,-0.4496765,-1.0138801,-0.88066864
97,815.0,1227,709,3,3,DP,11,3167.7341270446777,4850000,-82.11865220888347,48,0.5914357,-0.7864278,-0.16429088,0.7226049,0.92701954,-2.3841858e-07,-1.4874518,-0.49748412,-0.4496765,-1.0138801,-0.88066864
98,24.0,106,66,2,2,DP,11,2980.915649652481,4600000,-93.47393768213574,49,0.49556932,-0.98672056,-0.23519327,0.61035055,0.7770786,-3.5762787e-07,-1.8288362,-0.8726286,-0.6224275,-1.3623202,-1.4275669
99,1508.0,1578,856,3,3,DP,11,2980.915649652481,4600000,-93.47393768213574,49,0.49556932,-0.98672056,-0.23519327,0.61035055,0.7770786,-3.5762787e-07,-1.8288362,-0.8726286,-0.6224275,-1.3623202,-1.4275669
100,86.0,301,175,2,2,DP,11,3548.8273062705994,5350000,-98.12123052411945,50,0.23057948,-1.1269964,-0.40007663,0.4447432,0.98392826,-2.3841858e-07,-1.811718,-0.86456114,-0.4818521,-1.7270826,-1.3656228
